Plot Title,Curve Name,Plot T-1,Batch Time,Fwd Rate Numerator
AD & SYM AUD,SYMAUD-6-1630SY,TRUE,AM,180
AD & SYM AUD,ADAUD-3-1630SY,TRUE,AM,90
AED,IFSAED-3-1600LN,TRUE,AM,90
AUD - GMO,GMOAUD-6-1500NY,TRUE,PM,180
AUD - GMO,GMOAUD-3-1500NY,TRUE,PM,90
AUD - GMO,GMOAUD-0-1500NY,TRUE,PM,1
AUD 3M & 6M - 1630SY,IFSAUD-6-1630SY,TRUE,AM,180
AUD 3M & 6M - 1630SY,IFSAUD-3-1630SY,TRUE,AM,90
AUD Capula,CAPAUD-6-1500NY,TRUE,CAPULA,180
AUD Capula,CAPAUD-3-1500NY,TRUE,CAPULA,90
AUD Capula,CAPAUD-0-1500NY,TRUE,CAPULA,1
AUD OIS & 1M - 1630SY,IFSAUD-1-1630SY,TRUE,AM,30
AUD OIS & 1M - 1630SY,IFSAUD-0-1630SY,TRUE,AM,1
AUD XCCY - 1600LN,IFSAUD-X-1600LN,TRUE,AM,90
BRL,IFSBRL-0-1500NY,TRUE,PM,1
BRL,IFSBRL-X-1500NY,TRUE,PM,1
BRL - 1600LN,IFSBRL-0-1600LN,TRUE,AM,1
BRL - 1600LN,IFSBRL-X-1600LN,TRUE,AM,1
CAD - AM,IFSCAD-3-1600LN,TRUE,AM,90
CAD - AM,IFSCAD-1-1600LN,TRUE,AM,30
CAD - AM,IFSCAD-0-1600LN,TRUE,AM,1
CAD - GMO,GMOCAD-3-1500NY,TRUE,PM,90
CAD - GMO,GMOCAD-0-1500NY,TRUE,PM,1
CAD - PM,IFSCAD-3-1500NY,TRUE,PM,90
CAD - PM,IFSCAD-X-1500NY,TRUE,PM,90
CAD - PM -15NYLR,IFSCAD-3-15NYLR,TRUE,PM,90
CAD Capula,CAPCAD-3-1500NY,TRUE,CAPULA,90
CAD Capula,CAPCAD-0-1500NY,TRUE,CAPULA,1
CAD PM - OIS,IFSCAD-0-1500NY,TRUE,PM,1
CAD XCCY - AM,IFSCAD-X-1600LN,TRUE,AM,90
CHF - 1600LN,IFSCHF-6-1600LN,TRUE,AM,180
CHF - 1600LN,IFSCHF-3-1600LN,TRUE,AM,90
CHF - 1600LN,IFSCHF-0-1600LN,TRUE,AM,1
CHF - 1615LN,IFSCHF-6-1615LN,TRUE,AM,180
CHF - 1615LN,IFSCHF-3-1615LN,TRUE,AM,90
CHF - 1615LN,IFSCHF-0-1615LN,TRUE,AM,1
CHF - GMO,GMOCHF-6-1500NY,TRUE,PM,180
CHF - GMO,GMOCHF-3-1500NY,TRUE,PM,90
CHF - GMO,GMOCHF-0-1500NY,TRUE,PM,1
CHF - LIBOR,IFSCHF-6-16LNLR,TRUE,AM,180
CHF - LIBOR,IFSCHF-3-16LNLR,TRUE,AM,90
CHF Capula,CAPCHF-6-1500NY,TRUE,CAPULA,180
CHF Capula,CAPCHF-3-1500NY,TRUE,CAPULA,90
CHF XCCY,IFSCHF-X-1600LN,TRUE,AM,90
CHF XCCY,IFSCHF-X-1615LN,TRUE,AM,90
CLP - AM,IFSCLP-0-1600LN,TRUE,AM,1
CLP - AM,IFSCLP-X-1600LN,TRUE,AM,180
CLP - PM,IFSCLP-0-1500NY,TRUE,PM,1
CLP - PM,IFSCLP-X-1500NY,TRUE,PM,180
CNH,IFSCNH-X-1615SG,TRUE,AM,90
CNY,IFSCNY-7-1600LN,TRUE,AM,90
CNY,IFSCNY-7-1615SG,TRUE,AM,90
CNY XCCY,IFSCNY-X-1600LN,TRUE,AM,90
CNY XCCY,IFSCNY-X-1615SG,TRUE,AM,90
COP - AM,IFSCOP-0-1600LN,TRUE,AM,1
COP - AM,IFSCOP-X-1600LN,TRUE,AM,180
COP - PM,IFSCOP-0-1500NY,TRUE,PM,1
COP - PM,IFSCOP-X-1500NY,TRUE,PM,180
CZK,IFSCZK-6-1600LN,TRUE,AM,180
CZK,IFSCZK-3-1600LN,TRUE,AM,90
CZK,IFSCZK-E-1600LN,TRUE,AM,90
DKK,IFSDKK-6-1600LN,TRUE,AM,180
DKK,IFSDKK-3-1600LN,TRUE,AM,90
DKK,IFSDKK-0-1600LN,TRUE,AM,1
DKK - GMO,GMODKK-6-1500NY,TRUE,PM,180
DKK - GMO,GMODKK-3-1500NY,TRUE,PM,90
DKK - GMO,GMODKK-0-1500NY,TRUE,PM,1
DKK XCCY,IFSDKK-X-1600LN,TRUE,AM,90
EUR - GMO,GMOEUR-6-1500NY,TRUE,PM,180
EUR - GMO,GMOEUR-3-1500NY,TRUE,PM,90
EUR - GMO,GMOEUR-0-1500NY,TRUE,PM,1
EUR 3M & 6M 1600LN,IFSEUR-6-1600LN,TRUE,AM,180
EUR 3M & 6M 1600LN,IFSEUR-3-1600LN,TRUE,AM,90
EUR 3M & 6M 1615LN,IFSEUR-6-1615LN,TRUE,AM,180
EUR 3M & 6M 1615LN,IFSEUR-3-1615LN,TRUE,AM,90
EUR Capula,CAPEUR-6-1500NY,TRUE,CAPULA,180
EUR Capula,CAPEUR-3-1500NY,TRUE,CAPULA,90
EUR Capula,CAPEUR-1-1500NY,TRUE,CAPULA,30
EUR Capula,CAPEUR-0-1500NY,TRUE,CAPULA,1
EUR LIBOR - 1600LN,LIBEUR-6-1600LN,TRUE,AM,180
EUR LIBOR - 1600LN,LIBEUR-3-1600LN,TRUE,AM,90
EUR OIS & 1M 1600LN,IFSEUR-1-1600LN,TRUE,AM,30
EUR OIS & 1M 1600LN,IFSEUR-0-1600LN,TRUE,AM,1
EUR OIS & 1M 1615LN,IFSEUR-1-1615LN,TRUE,AM,30
EUR OIS & 1M 1615LN,IFSEUR-0-1615LN,TRUE,AM,1
GBP - GMO,GMOGBP-6-1500NY,TRUE,PM,180
GBP - GMO,GMOGBP-3-1500NY,TRUE,PM,90
GBP - GMO,GMOGBP-0-1500NY,TRUE,PM,1
GBP 1615LN,IFSGBP-6-1615LN,TRUE,AM,180
GBP 1615LN,IFSGBP-3-1615LN,TRUE,AM,90
GBP 1615LN,IFSGBP-0-1615LN,TRUE,AM,1
GBP 3M & 6M - 1600LN,IFSGBP-6-1600LN,TRUE,AM,180
GBP 3M & 6M - 1600LN,IFSGBP-3-1600LN,TRUE,AM,90
GBP Capula,CAPGBP-6-1500NY,TRUE,CAPULA,180
GBP Capula,CAPGBP-3-1500NY,TRUE,CAPULA,90
GBP Capula,CAPGBP-0-1500NY,TRUE,CAPULA,1
GBP LIBOR,LIBGBP-6-1600LN,TRUE,AM,180
GBP LIBOR,LIBGBP-3-1600LN,TRUE,AM,90
GBP OIS & 1M - 1600LN,IFSGBP-1-1600LN,TRUE,AM,30
GBP OIS & 1M - 1600LN,IFSGBP-0-1600LN,TRUE,AM,1
HKD - 1600LN,IFSHKD-3-1600LN,TRUE,AM,90
HKD - 1600LN,IFSHKD-1-1600LN,TRUE,AM,30
HKD - 1600LN,IFSHKD-X-1600LN,TRUE,AM,90
HKD 3M,IFSHKD-3-1600LN,TRUE,AM,90
HKD 3M,IFSHKD-3-1615SG,TRUE,AM,90
HKD 3M,IFSHKD-3-1800HK,TRUE,AM,90
HUF,IFSHUF-6-1600LN,TRUE,AM,180
HUF,IFSHUF-3-1600LN,TRUE,AM,90
HUF,IFSHUF-E-1600LN,TRUE,AM,90
ILS,IFSILS-3-1600LN,TRUE,AM,90
ILS,IFSILS-X-1600LN,TRUE,AM,90
ILS - GMO,GMOILS-3-1500NY,TRUE,PM,90
INR,IFSINR-0-1600LN,TRUE,AM,1
INR,IFSINR-0-1615SG,TRUE,AM,1
INR,IFSINR-0-1800HK,TRUE,AM,1
INR - XCCY,IFSINR-X-1600LN,TRUE,AM,180
JPY Capula,CAPJPY-6-1500NY,TRUE,CAPULA,180
JPY Capula,CAPJPY-3-1500NY,TRUE,CAPULA,90
JPY Capula,CAPJPY-0-1500NY,TRUE,CAPULA,1
JPY JSCC - 1430SG,IFSJPT-6-1430SG,TRUE,AM,180
JPY JSCC - 1430SG,IFSJPY-6-1430SG,TRUE,AM,180
JPY JSCC - 1430SG,IFSJPY-3-1430SG,TRUE,AM,90
JPY JSCC - 1430SG,IFSJPY-0-1430SG,TRUE,AM,1
JPY JSCC - 3PM Fix,IFSJPY-6-1500TK,TRUE,AM,180
JPY JSCC - 3PM Fix,IFSJPY-3-1500TK,TRUE,AM,90
JPY JSCC - 3PM Fix,IFSJPY-0-1500TK,TRUE,AM,1
JPY JSCC - GMO,GMOJPY-6-1500NY,TRUE,PM,180
JPY JSCC - GMO,GMOJPY-3-1500NY,TRUE,PM,90
JPY JSCC - GMO,GMOJPY-0-1500NY,TRUE,PM,1
JPY LCH - 1430SG,IFSJPY-6-14SGLC,TRUE,AM,180
JPY LCH - 1430SG,IFSJPY-3-14SGLC,TRUE,AM,90
JPY LCH - 1430SG,IFSJPY-0-14SGLC,TRUE,AM,1
JPY LCH - 3PM Fix,IFSJPY-6-15TKLC,TRUE,AM,180
JPY LCH - 3PM Fix,IFSJPY-3-15TKLC,TRUE,AM,90
JPY LCH - 3PM Fix,IFSJPY-0-15TKLC,TRUE,AM,1
JPY LCH - GMO,GMOJPY-6-15NYLC,TRUE,PM,180
JPY LCH - GMO,GMOJPY-3-15NYLC,TRUE,PM,90
JPY LCH - GMO,GMOJPY-0-15NYLC,TRUE,PM,1
JPY LIBOR,IFSJPY-6-1500TK,TRUE,AM,180
JPY LIBOR,LIBJPY-6-1500TK,TRUE,AM,180
JPY LIBOR,IFSJPY-3-1500TK,TRUE,AM,90
JPY LIBOR,LIBJPY-3-1500TK,TRUE,AM,90
JPY TIBOR - 3PM Fix,IFSJPT-6-1500TK,TRUE,AM,180
JPY TIBOR - 3PM Fix,IFSJPT-3-1500TK,TRUE,AM,90
JPY XCCY,IFSJPY-X-1600LN,TRUE,AM,90
KRW,IFSKRW-3-1600LN,TRUE,AM,90
KRW,IFSKRW-3-1615SG,TRUE,AM,90
KRW,IFSKRW-X-1600LN,TRUE,AM,90
KRW Capula vs IFS,CAPKRW-3-1500NY,TRUE,CAPULA,90
MXN - AM,IFSMXN-1-1600LN,TRUE,AM,30
MXN - AM,IFSMXN-X-1600LN,TRUE,AM,28
MXN - GMO,GMOMXN-1-1500NY,TRUE,PM,30
MXN - PM,IFSMXN-1-1500NY,TRUE,PM,30
MXN - PM,IFSMXN-X-1500NY,TRUE,PM,28
MYR,IFSMYR-3-1600LN,TRUE,AM,90
MYR,IFSMYR-3-1615SG,TRUE,AM,90
MYR,IFSMYR-3-1800HK,TRUE,AM,90
MYR XCCY,IFSMYR-X-1600LN,TRUE,AM,90
NOK,IFSNOK-6-1600LN,TRUE,AM,180
NOK,IFSNOK-3-1600LN,TRUE,AM,90
NOK,IFSNOK-X-1600LN,TRUE,AM,90
NOK - GMO,GMONOK-6-1500NY,TRUE,PM,180
NOK - GMO,GMONOK-3-1500NY,TRUE,PM,90
NZD - 1630WE,IFSNZD-3-1630WE,TRUE,AM,90
NZD - 1630WE,IFSNZD-0-1630WE,TRUE,AM,1
NZD - GMO,GMONZD-3-1500NY,TRUE,PM,90
NZD - XCCY,IFSNZD-X-1600LN,TRUE,AM,90
NZD PM,IFSNZD-0-1500NY,TRUE,PM,1
PLN,IFSPLN-6-1600LN,TRUE,AM,180
PLN,IFSPLN-3-1600LN,TRUE,AM,90
PLN,IFSPLN-E-1600LN,TRUE,AM,90
PLN - GMO,GMOPLN-6-1500NY,TRUE,PM,180
PLN - GMO,GMOPLN-3-1500NY,TRUE,PM,90
SAR,IFSSAR-3-1600LN,TRUE,AM,90
SEK,IFSSEK-3-1600LN,TRUE,AM,90
SEK,IFSSEK-X-1600LN,TRUE,AM,90
SEK - GMO,GMOSEK-3-1500NY,TRUE,PM,90
SEK - GMO,GMOSEK-0-1500NY,TRUE,PM,1
SGD,IFSSGD-6-1600LN,TRUE,AM,180
SGD,IFSSGD-6-1615SG,TRUE,AM,180
SGD,IFSSGD-X-1600LN,TRUE,AM,90
SGD - 1800HK,IFSSGD-6-1800HK,TRUE,AM,180
SGD - 1800HK,IFSSGD-3-1800HK,TRUE,AM,90
SYM - EUR 3M & 6M,SYMEUR-6-1615LN,TRUE,AM,180
SYM - EUR 3M & 6M,SYMEUR-3-1615LN,TRUE,AM,90
SYM - EUR OIS & 1M,SYMEUR-1-1615LN,TRUE,AM,30
SYM - EUR OIS & 1M,SYMEUR-0-1615LN,TRUE,AM,1
SYM - USD,SYMUSD-6-1500NY,TRUE,PM,180
SYM - USD,SYMUSD-3-1500NY,TRUE,PM,90
SYM - USD,SYMUSD-1-1500NY,TRUE,PM,30
SYM - USD,SYMUSD-0-1500NY,TRUE,PM,1
THB,IFSTHB-6-1600LN,TRUE,AM,180
THB,IFSTHB-6-1800HK,TRUE,AM,180
THB,IFSTHB-X-1600LN,TRUE,AM,180
TRY XCCY - AM,IFSTRY-X-1600LN,TRUE,AM,360
TRY XCCY - PM,IFSTRY-X-1500NY,TRUE,PM,360
TWD,IFSTWD-3-1600LN,TRUE,AM,90
TWD,IFSTWD-3-1800HK,TRUE,AM,90
USD - BMA,IFSUSD-3-1500NY,TRUE,PM,90
USD - BMA,IFSUSD-7-15NYBM,TRUE,PM,90
USD 3M & 6M - 3PM EST,IFSUSD-6-1500NY,TRUE,PM,180
USD 3M & 6M - 3PM EST,IFSUSD-3-1500NY,TRUE,PM,90
USD 3M & 6M - 4PM London,IFSUSD-6-1600LN,TRUE,AM,180
USD 3M & 6M - 4PM London,IFSUSD-3-1600LN,TRUE,AM,90
USD 3M & 6M - GMO,GMOUSD-6-1500NY,TRUE,PM,180
USD 3M & 6M - GMO,GMOUSD-3-1500NY,TRUE,PM,90
USD 3M OIS - 3PM EST,IFSUSD-0-1500NY,TRUE,PM,1
USD Capula - 3M & 6M,CAPUSD-6-1500NY,TRUE,CAPULA,180
USD Capula - 3M & 6M,CAPUSD-3-1500NY,TRUE,CAPULA,90
USD Capula - OIS & 1M,CAPUSD-1-1500NY,TRUE,CAPULA,30
USD Capula - OIS & 1M,CAPUSD-0-1500NY,TRUE,CAPULA,1
USD CME - 3PM EST,IFSUSD-6-15NYCM,TRUE,PM,180
USD CME - 3PM EST,IFSUSD-3-15NYCM,TRUE,PM,90
USD CME - 3PM EST,IFSUSD-1-15NYCM,TRUE,PM,30
USD CME - 4PM London,IFSUSD-6-16LNCM,TRUE,AM,180
USD CME - 4PM London,IFSUSD-3-16LNCM,TRUE,AM,90
USD CME - GMO,GMOUSD-6-15NYCM,TRUE,PM,180
USD CME - GMO,GMOUSD-3-15NYCM,TRUE,PM,90
USD CME - GMO,GMOUSD-1-15NYCM,TRUE,PM,30
USD LIBOR - AM,LIBUSD-3-1600LN,TRUE,AM,90
USD LIBOR - PM,LIBUSD-3-1500NY,TRUE,PM,90
USD OIS & 1M - 3PM EST,IFSUSD-1-1500NY,TRUE,PM,30
USD OIS & 1M - 3PM EST,IFSUSD-0-1500NY,TRUE,PM,1
USD OIS & 1M - 4PM London,IFSUSD-1-1600LN,TRUE,AM,30
USD OIS & 1M - 4PM London,IFSUSD-1-16LNCM,TRUE,AM,30
USD OIS & 1M - 4PM London,IFSUSD-0-1600LN,TRUE,AM,1
USD OIS & 1M - GMO,GMOUSD-1-1500NY,TRUE,PM,30
USD OIS & 1M - GMO,GMOUSD-0-1500NY,TRUE,PM,1
ZAR,IFSZAR-3-1600LN,TRUE,AM,90
ZAR,IFSZAR-X-1600LN,TRUE,AM,90
ZAR - GMO,GMOZAR-3-1500NY,TRUE,PM,90
